kernel_size,dropout_rate,score1,score2
"(3, 3)",0.3,0.9800000190734863,0.9599999785423279
"(3, 3)",0.5,0.9800000190734863,0.9700000286102295
"(4, 4)",0.3,0.9750000238418579,0.9700000286102295
"(4, 4)",0.5,0.9800000190734863,0.9800000190734863
"(5, 5)",0.3,0.9549999833106995,0.9549999833106995
"(5, 5)",0.5,0.9649999737739563,0.9750000238418579
